Título,Nome da Rua,Número,Bairro,Cidade,Preço,Área,Quartos,Banheiros,Garagens
Amplo apartamento,Avenida Atlântica,,--  Centro,Balneário Camboriú,R$ 6.800.000 Cond.: R$ 1.800,255,4  Quartos,5  Banheiros,3  Garagens
Sobrado 03,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.000.000,210,3  Quartos,6  Banheiros,2  Garagens
Loft no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 450.000,,,,
Apartamento,Rua Mingote Serafim,,36  Pioneiros,Balneário Camboriú,R$ 3.600.000,262,3  Quartos,1  Banheiro,2  Garagens
Apartamento,Rua 3700,,425  Centro,Balneário Camboriú,R$ 4.800.000 Cond.: R$ 1.500,214,4  Quartos,5  Banheiros,3  Garagens
Em frente,Avenida Atlântica,,4950  Centro,Balneário Camboriú,R$ 12.590.000,196,4  Quartos,6  Banheiros,3  Garagens
Cobertura,Rua 1901,,85  Centro,Balneário Camboriú,R$ 2.700.000 Cond.: R$ 990,,,,
Apartamento alto,Rua Sérgio Milliet  Praia dos Amores,,,Balneário Camboriú,R$ 2.375.000,98,3  Quartos,1  Banheiro,2  Garagens
Apartamento,Avenida Brasil,,270  Centro,Balneário Camboriú,R$ 5.000.000,146,4  Quartos,1  Banheiro,3  Garagens
Cobertura,Rua 1950,,216  Centro,Balneário Camboriú,R$ 5.283.773,240,4  Quartos,5  Banheiros,4  Garagens
Oportunidade!! excelente,Rua 2900,,96  Centro,Balneário Camboriú,R$ 3.150.000 Cond.: R$ 890,135,3  Quartos,3  Banheiros,3  Garagens
Apartamento,Rua 902,,270  Centro,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 800,116,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 11.000.000,238,4  Quartos,6  Banheiros,4  Garagens
Casa,Rua 2300,,825  Centro,Balneário Camboriú,R$ 2.979.000,200,4  Quartos,4  Banheiros,4  Garagens
Hyde atlântica,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 22.423.688,542,5  Quartos,6  Banheiros,5  Garagens
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 3.280.000,,,,
Apartamento,Avenida Brasil,,3540  Centro,Balneário Camboriú,R$ 850.000 Cond.: R$ 500,84,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Avenida Brasil,,3020  Centro,Balneário Camboriú,R$ 800.000 Cond.: R$ 350,62,2  Quartos,1  Banheiro,1  Garagem
Terreno,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.100.000,,,,
Apartamento 5,Avenida Atlantida,,00  Centro,Balneário Camboriú,R$ 7.110.000,230,5  Quartos,1  Banheiro,4  Garagens
Lancamento balneario,Rua 2400,,279  Centro,Balneário Camboriú,R$ 2.280.000,,,,
Prédio,Rua 906,,111  Centro,Balneário Camboriú,R$ 16.200.000 Cond.: R$ 1,1.953,1  Sala,1  Banheiro,42  Garagens
Apto 3,Rua 2450,,275  Centro,Balneário Camboriú,R$ 2.500.000,121,3  Quartos,3  Banheiros,2  Garagens
Galpão rústico,Rua Dom Rodrigo,,203  Jardim Iate Clube,Balneário Camboriú,R$ 1.450.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.500.000,127,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 1141,,188  Centro,Balneário Camboriú,R$ 1.490.000,97,2  Quartos,2  Banheiros,2  Garagens
3 suítes,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.500.000,138,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida Atlântica,,1960  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento residencial,Avenida Normando Tedesco,,1315  Centro,Balneário Camboriú,R$ 3.800.000 Cond.: R$ 1.650,196,4  Quartos,4  Banheiros,3  Garagens
Lindo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 11.000.000 Cond.: R$ 4.000,237,4  Quartos,5  Banheiros,4  Garagens
Terreno para,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 25.755.600,,,,
Apartamento,Rua 3850,,4150  Centro,Balneário Camboriú,R$ 5.000.000,192,4  Quartos,4  Banheiros,2  Garagens
Casa,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 3.300.000,490,4  Quartos,4  Banheiros,8  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.600.000 Cond.: R$ 1.043,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.450.000 Cond.: R$ 1.850,225,4  Quartos,4  Banheiros,3  Garagens
Apart,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.885.000 Cond.: R$ 660,108,3  Quartos,3  Banheiros,2  Garagens
Apartamento,Avenida Brasil,,3605  Centro,Balneário Camboriú,R$ 3.600.000 Cond.: R$ 250,193,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua 916  Centro,,,Balneário Camboriú,R$ 890.000 Cond.: R$ 500,79,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.980.000,219,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 620,,110  Centro,Balneário Camboriú,R$ 3.200.000 Cond.: R$ 0,--,3  Quartos,4  Banheiros,3  Garagens
Palazzo del,Rua 3000,,218  Barra Sul,Balneário Camboriú,R$ 2.650.000 Cond.: R$ 900,100,3  Quartos,3  Banheiros,3  Garagens
Apartamento 211,Avenida Brasil  Centro,,,Balneário Camboriú,R$ 1.600.000,211,4  Quartos,3  Banheiros,2  Garagens
Grande investimento,Rua Juruva,,125  Ariribá,Balneário Camboriú,R$ 1.950.000,,,,
Apartamento,R. 4600,,100  Barra Sul,Balneário Camboriú,R$ 6.310.000,328,4  Quartos,1  Banheiro,3  Garagens
Apartamentos la,Avenida do Estado Dalmo Vieira,,3351  Centro,Balneário Camboriú,R$ 2.090.000,141,4  Quartos,5  Banheiros,3  Garagens
Propriedade,Rua Hercelina M Vieira,,265  Praia do Estaleiro,Balneário Camboriú,R$ 15.000.000,,,,
Casa,Rua Juruva,,265  Ariribá,Balneário Camboriú,R$ 1.900.000,,,,
Aptos na,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 9.200.000,238,4  Quartos,5  Banheiros,4  Garagens
Casa mobiliada,Avenida Hermógenes de Assis Feijó,,1100  Barra,Balneário Camboriú,R$ 1.490.000 Cond.: R$ 600,126,3  Quartos,3  Banheiros,3  Garagens
Apartamentos,Endereço não disponível  Estados,,,Balneário Camboriú,R$ 2.070.235,83,1  Quarto,2  Banheiros,2  Garagens
Apartamento 3,Rua 3700,,415  Centro,Balneário Camboriú,R$ 2.906.000,120,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 1001  Centro,,,Balneário Camboriú,R$ 4.200.000,140,3  Quartos,3  Banheiros,2  Garagens
Apartamento 2,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 720.000,65,2  Quartos,2  Banheiros,1  Garagem
Residencial costa,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.390.000 Cond.: R$ 650,136,4  Quartos,5  Banheiros,2  Garagens
Millennium palace,Avenida Atlântica,,2670  Centro,Balneário Camboriú,R$ 24.800.000 Cond.: R$ 1,317,4  Quartos,7  Banheiros,4  Garagens
Apartamento,Avenida Osmar de Souza Nunes  Pioneiros,,,Balneário Camboriú,R$ 1.400.000 Cond.: R$ 300,,,,
Apartamento diferenciado,Rua 3110,,194  Centro,Balneário Camboriú,R$ 1.499.999 Cond.: R$ 900,300,3  Quartos,3  Banheiros,2  Garagens
Lançamento! apto,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 1.226.330,82,3  Quartos,2  Banheiros,2  Garagens
Residencial figueira,Rua 3144  Centro,,,Balneário Camboriú,R$ 1.580.000 Cond.: R$ 784,139,3  Quartos,2  Banheiros,2  Garagens
Apartamento frente,Atlantica,,4950  Frente do Mar,Balneário Camboriú,R$ 10.000.000,194,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Avenida Brasil,,3605  Centro,Balneário Camboriú,R$ 3.600.000 Cond.: R$ 250,193,3  Quartos,2  Banheiros,2  Garagens
Casa,Dom Francisco,,472  Vila Real,Balneário Camboriú,R$ 1.300.000,300,3  Quartos,4  Banheiros,2  Garagens
Alto luxo-res.mirante,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 8.500.000,37.216,4  Quartos,4  Banheiros,3  Garagens
Casa,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.700.000,155,3  Quartos,1  Banheiro,2  Garagens
Apartamento a,Rua 3710,,sn  Centro,Balneário Camboriú,R$ 2.700.000,141,3  Quartos,3  Banheiros,3  Garagens
Apartamento,Rua Júlio Graciliano,,315  São Judas Tadeu,Balneário Camboriú,R$ 315.000 Cond.: R$ 300,50,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 3850  Centro,,,Balneário Camboriú,R$ 5.911.326,180,4  Quartos,5  Banheiros,3  Garagens
Apartamento mobiliado,Rua 101,,120  Centro,Balneário Camboriú,R$ 1.790.000 Cond.: R$ 850,182,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 830.000 Cond.: R$ 550,,,,
Sobrado em,Antonio Correa,,149  Barra,Balneário Camboriú,R$ 750.000,82,2  Quartos,1  Banheiro,1  Garagem
Amplo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.240.000,249,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 550.000 Cond.: R$ 470,54,1  Quarto,1  Banheiro,1  Garagem
Apartamento,Rua 2870,,1462  Centro,Balneário Camboriú,R$ 1.290.000 Cond.: R$ 768,121,2  Quartos,2  Banheiros,2  Garagens
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.650 Cond.: R$ 500,90,2  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua 2070  Centro,,,Balneário Camboriú,R$ 2.300.000,210,4  Quartos,4  Banheiros,2  Garagens
Edificio vale,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.800.000 Cond.: R$ 1.400,165,3  Quartos,1  Banheiro,2  Garagens
Salvatore residenziale,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.137.387,,,,
Ótimo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.100.000 Cond.: R$ 500,122,3  Quartos,2  Banheiros,1  Garagem
Sala /,Avenida Brasil,,esquina ru  Centro,Balneário Camboriú,R$ 3.000.000,,,,
Cobertura,Rua 4000,,100  Centro,Balneário Camboriú,R$ 6.500.000 Cond.: R$ 2.180,267,5  Quartos,7  Banheiros,5  Garagens
Apartamento no,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 700.000,142,2  Quartos,2  Banheiros,1  Garagem
Apartamento alto,Rua Miguel Matte,,390  Pioneiros,Balneário Camboriú,R$ 2.650.000 Cond.: R$ 650,,,,
Apartamento,Avenida Brasil,,180  Centro,Balneário Camboriú,R$ 6.500.000,,,,
Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,R$ 4.800.000 Cond.: R$ 1.500,157,3  Quartos,2  Banheiros,2  Garagens
"Vision tower,",Rua 1001  Centro,,,Balneário Camboriú,R$ 4.950.000 Cond.: R$ 1.200,146,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida Normando Tedesco,,S/N  Centro,Balneário Camboriú,R$ 8.900.000,--,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 2050  Centro,,,Balneário Camboriú,R$ 3.118.000,,,,
Edifício inside,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 970.000,62,2  Quartos,2  Banheiros,1  Garagem
Apartamento novo,Rua 1950,,605  Centro,Balneário Camboriú,R$ 6.800.000 Cond.: R$ 1.130,257,4  Quartos,5  Banheiros,4  Garagens
Apartamento diferenciado,Avenida Brasil,,268  Centro,Balneário Camboriú,R$ 1.170.000 Cond.: R$ 600,168,2  Quartos,3  Banheiros,1  Garagem
Cobertura,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 25.500.000,425,6  Quartos,8  Banheiros,6  Garagens
Requinte e,Rua 2070,,11  Centro,Balneário Camboriú,R$ 4.080.000 Cond.: R$ 1.800,167,4  Quartos,5  Banheiros,3  Garagens
Excelente apartamento,Rua Biguaçu,,1036  Municípios,Balneário Camboriú,R$ 470.000,37,1  Quarto,1  Banheiro,1  Garagem
Casa em,Rua Hercelina M. Vieira,,--  Praia do Estaleiro,Balneário Camboriú,R$ 5.480.000,298,4  Quartos,6  Banheiros,2  Garagens
Apartamento em,Rua João F Dos Santos,20,20  Pioneiros,Balneário Camboriú,R$ 2.300.000,127,3  Quartos,2  Banheiros,2  Garagens
Apartamento 04,Avenida do Estado Dalmo Vieira,,2  Centro,Balneário Camboriú,R$ 2.690.000,130,4  Quartos,3  Banheiros,2  Garagens
Plaza viena,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 966.711,81,3  Quartos,2  Banheiros,2  Garagens
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.726.330 Cond.: R$ 2.000,175,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 3618  Centro,,,Balneário Camboriú,R$ 3.649.000 Cond.: R$ 0,137,3  Quartos,5  Banheiros,4  Garagens
Quadriplex no,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.500.000,260,5  Quartos,1  Banheiro,1  Garagem
Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.400.000,60,5  Quartos,1  Banheiro,2  Garagens
Apartamento,Avenida Brasil,,3605  Centro,Balneário Camboriú,R$ 3.600.000 Cond.: R$ 250,193,3  Quartos,2  Banheiros,2  Garagens
Grand place,Avenida Brasil,,1433  Centro,Balneário Camboriú,R$ 5.042.000,170,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Un 3001 Atlantica  Frente do Mar,,,Balneário Camboriú,R$ 14.700.000,217,4  Quartos,5  Banheiros,4  Garagens
Super oportunidade,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 940.000 Cond.: R$ 1.000,100,3  Quartos,2  Banheiros,1  Garagem
Apartamento ed.,Avenida Normando Tedesco  Centro,,,Balneário Camboriú,R$ 7.500.000,265,4  Quartos,5  Banheiros,3  Garagens
Maravilhoso sobrado,Rua Jacupemba,,115/125  Ariribá,Balneário Camboriú,R$ 1.250.000,179,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.000.000,218,4  Quartos,4  Banheiros,4  Garagens
Terreno,Rodovia BR-101,,1000  Estados,Balneário Camboriú,R$ 45.000.000,,,,
Apartamento,Atlântica,,"Barra Sul, 4950  Centro",Balneário Camboriú,R$ 12.100.000,381,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua Jordânia  Nações,,,Balneário Camboriú,R$ 993.545,63,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua 3900  Centro,,,Balneário Camboriú,R$ 3.600.000,153,4  Quartos,4  Banheiros,3  Garagens
Magnifico lançamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.189.250,187,4  Quartos,6  Banheiros,3  Garagens
Apartamento 14º,Rua 2000,,510  Centro,Balneário Camboriú,R$ 2.850.000 Cond.: R$ 1.200,135,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 3850  Centro,,,Balneário Camboriú,R$ 6.074.806,,,,
Apartamento,Rua 3450.0,,37  Centro,Balneário Camboriú,R$ 12.390.000,341,4  Quartos,5  Banheiros,3  Garagens
Seu novo,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 5.450.000,298,4  Quartos,4  Banheiros,2  Garagens
Apartamento vista,Avenida Osmar de Souza Nunes,,82  Pioneiros,Balneário Camboriú,R$ 2.700.000 Cond.: R$ 1.200,140,4  Quartos,3  Banheiros,2  Garagens
Lindo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 8.650.000,399,3  Quartos,3  Banheiros,4  Garagens
"Cobertura duplex,",Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 22.900.000 Cond.: R$ 0,441,6  Quartos,7  Banheiros,5  Garagens
Apartamento á,Rua 700,,160  Centro,Balneário Camboriú,R$ 950.000 Cond.: R$ 675,,,,
Apartamento altíssimo,Avenida Atlântica,,4950  Barra Sul,Balneário Camboriú,R$ 14.980.000,194,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 902,,144  Centro,Balneário Camboriú,R$ 2.800.000 Cond.: R$ 1.200,137,3  Quartos,4  Banheiros,4  Garagens
Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.790.000,,,,
Terreno -,Endereço não disponível  Vila Real,,,Balneário Camboriú,R$ 998.000,,,,
Apartamento,Avenida Atlântica,,4950  Centro,Balneário Camboriú,R$ 12.360.000,196,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida Brasil  Centro,,,Balneário Camboriú,R$ 2.100.000 Cond.: R$ 1.458,110,3  Quartos,3  Banheiros,2  Garagens
"Iconic tower,",Rua 1500  Centro,,,Balneário Camboriú,R$ Confira,,,,
Apartamento one,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ Confira,,,,
Apartamento na,Rua 1440,,100  Centro,Balneário Camboriú,R$ 2.200.000,120,3  Quartos,4  Banheiros,3  Garagens
Casa,Avenida das Gaivotas,,250  Ariribá,Balneário Camboriú,R$ 2.000.000,182,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.200.000 Cond.: R$ 2.000,385,4  Quartos,5  Banheiros,3  Garagens
Apartamento barato,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.099.000 Cond.: R$ 500,98,3  Quartos,3  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.690.000,131,2  Quartos,3  Banheiros,3  Garagens
Sobrado,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 5.480.000,,,,
One tower-,Av Atlantica,,178  Barra Sul,Balneário Camboriú,R$ 12.500.000,194,4  Quartos,5  Banheiros,3  Garagens
Cobertura,Rua 3618,,967  Centro,Balneário Camboriú,R$ 9.000.000 Cond.: R$ 1.000,--,4  Quartos,5  Banheiros,4  Garagens
Apartamento 1,Rua México,,151  Nações,Balneário Camboriú,R$ 560.000 Cond.: R$ 350,,,,
Apartamento 3,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 1.950.000,122,3  Quartos,2  Banheiros,2  Garagens
"Grande oportunidade,",Rua 906  Centro,,,Balneário Camboriú,R$ 18.500.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 550,105,3  Quartos,3  Banheiros,2  Garagens
Maravilhoso apto,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 700.000,80,2  Quartos,2  Banheiros,1  Garagem
Lançamento na,Rua Bruno Silva,,222  Pioneiros,Balneário Camboriú,R$ 2.225.951,,,,
Santé boutique,Rua João Francisco dos Santos,,100  Pioneiros,Balneário Camboriú,R$ 5.880.000 Cond.: R$ 1.800,160,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida Atlântica,,2700  Centro,Balneário Camboriú,R$ 3.410.000,77,2  Quartos,2  Banheiros,1  Garagem
Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.000.000,,,,
Apartamento para,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 636.000,,,,
